,label,doc,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5
1,misc.forsale,sale softwar packag ibm pc compat comput wing command delux edit includ secret mission includ origin packag manual disk includ registr card send regist origin price wing command origin price secret mission origin price secret mission ii total origin price price game wing command secret mission battl flight simul set space includ standard fun thing flight simul take land carrier fli battl simul lot fun ibm pc compat k dual floppi hard drive requir winway resum window includ origin packag manual disk origin price price winway resum resum write program window excel program job run window interfac make easi answer question print result minut beauti profession design resum ibm pc window instal mb free hard disk space requir typefac includ origin packag manual disk origin price price typefac packag typetyp font famili total twelv font window font includ marqu crystal architech ital bold bold ital version includ font uniqu font softwar includ packag font morefont typefac program adob type manag truetyp geowork express publish coreldraw ibm pc window hard disk requir typefac truetyp format format ibm pc hard disk program list requir interest program leav email call kirk peterson anytim don answer leav messag answer machin ll call back pay ship program continent unit state,"misc.forsale sale,includ,packag","misc.forsale sale,price","misc.forsale sale,price,comput","misc.forsale ship,sale,packag,delux,price",misc.forsale sale
2,misc.forsale,person made offer vhs movi save mail address person week made deal repli movi basic instinct born juli backdraft princ tide presum innoc dougla kou hiram colleg,misc.forsale deal,"misc.forsale offer,sale,price,offer","misc.forsale deal,offer","misc.forsale ship,sale,packag,delux,price","misc.forsale sale,offer"
3,rec.autos,articl qmqtinnl tamsun tamu dlb tamut tamu daryl biberdorf write user recent request info shadow sundanc car haven public respons peopl experi car daryl pretti junk stay replac year model,rec.autos car,"rec.autos car,model",rec.autos car,"misc.forsale ship,sale,packag,delux,price",rec.autos car
4,rec.autos,nntp post host msiegel mit sunroof leak ve thought thing royal pain provid insight seal isn great weld stupid thing shut hk,"rec.autos sunroof,leak",rec.autos sunroof,"rec.autos sunroof,weld,leak","rec.autos sunroof,weld","rec.autos car,sunroof"
5,misc.forsale,sell softwar ship order game continent canada contact ship locat contrapt zack perfect condit unregist doc disk packag puzzl game great anim graphic tool fix manufactur plant hidden level solv puzzl tool tool fix machin level huge span screen graphic cartooni humor color vga mcga adlib soundblast roland legend kyrandia perfect condit unregist doc disk packag adventur unknow heir throne kingdom kyrandia evil jester murder parent king queen attempt control kingdom thwart spell cast grandfath magic user travel find magic user gain amulet defeat jester beauti graphic great soundtrack vga mcga adlib sound blaster soundblast pro mt lapc spirit excalibur virgin mastertron good condit doc disk packag fantasi game combin role play adventur combat simul heir throne britain arthur die unit land rule defend invad armi north ega tandi mcga vga sound card loom perfect condit unregist doc disk packag receiv comput game world award artist achiev adventur game play role young weaver music spell save fellow weaver oblivion travel land cast spell learn spell befriend peopl meet foil evil plot point click type action game involv cast music spell vga ega cga mcga tandi adlib cms sound dark seed perfect condit unregist doc disk packag adventur base surrealist macabr artwork giger inspir alien alien iii poltergeist ii bought victorian hous bargain seclud town find portal dark sinist world hous plot world save world horribl fate gorgeous gori high resolut graphic vga adlib soundblast conquest japan impress brand unregist doc disk packag simul samurai conquest play role japanes daimyo lord control citi japan main island honshu money buy armi conquer enemi battl fought impress miniatur system watch individu samurai mount samurai spearmen archer arquebusi vga adlib,"misc.forsale sell,ship,condit","misc.forsale sell,sale,condit","misc.forsale ship,sell","rec.autos sunroof,weld",misc.forsale sale
6,misc.forsale,softwar sale item open lucid dimension spreadsheet pull menus line page note cell dynam detail capabl compat lotus includ ship manual disk turbo pascal express readi run assembl languag routin make turbo pascal faster power easier disk manual includ ship dr halo iii icon driven paint program complet page composit present graphic packag automat aspect ratio correct wysiwyg print true color grey scale output partial screen print disk manual includ ship key form design softwar make profession busi form disk manual ship item packag open regist jetfight ii advanc tactic fighter disk manual ship obo nighthwak a stealth fighter definit simul america radar elus jet sensat sound world hot spot cuba north korea kuwaiti theatr oper central europ north cape libya persian gul vietnam middl east awesom mission challeng disk manual ship obo grammatik iv ship quattro pro make offer gem chart graphic word publish make offer item ibm compat system,misc.forsale ,"misc.forsale sale,new,use","misc.forsale ship,sell","misc.forsale sale,offer,ship,item","misc.forsale sale,obo"
7,misc.forsale,ticket midweek start week april week current condit apr great spring ski excel coverag stuff open lift line andrei,misc.forsale ,"misc.forsale avail,ticket",misc.forsale avail,"misc.forsale sale,offer,ship,item","misc.forsale sale,ticket"
8,sci.med,articl cvhwo hlt tripo homer tripo webster homer write rjasoar vnet ibm robert alexand md write addit question long mother breast feed child friend mine nurs year benefici husband coninu nurs year proof unfit mother studi breast feed past year psycholog health child web homer wife breast fed boy month month month year fair normal notic negat correl ear infect length time nurs small sampl notic year eat lot breast feed don understand unfit mother charg tactic low folk divorc child custodi battl develop nation practic breast feed year screw cow milk commerci formula doctor bobbi akgua rjb,sci.med breast,"sci.med health,doctor,human","sci.med breast,nurs,psycholog","sci.med breast-feed,nurs,psycholog,doctor,benefici",sci.med benefici
9,rec.autos,rememb road america design speed mean safe road autobahn smoother straiter wider slight bank month back travel late night chang highway bent crosss curv south east hidden tree ft continu left strait north want turn north check south lane roll cross check north lane wasn car sight pull left hand lane car isn sec perform corect lane decent time wasn wast time check mirror mustang close lane fast turn corner notic luck chang lane time estam move excess stander chanc rune move glad brake light time shudder happen waint pull left time need dodg rule car clear don assum stay travi disclam idea express fact employ mail flame marshatt feserv cc purdu,rec.autos lane,"rec.autos road,lane,car,autobahn","rec.autos car,crosss","rec.autos speed,road,car,autobahn",rec.autos car
10,sci.med,frequent late react ad restaur food insid throat start feel puffi cold time insid mouth tongu lip feel puffi situat symptom involv restaur chines notabl case cheap chines fast food chain japanes steak hous steak chines fast food chain cook put tablespoon look sugar salt fri rice impress msg enhanc flavor caus tast bud swell correct find unreason assum high dose msg mouth tissu swell occur includ involv beef beef frequent tender msg suspect wouldn surpris toxic studi msg anim show harmless startl hear lab rat rhesus monkey complain throat feel funni wish explain major food addit total harmless mail result studi respond remind long prove smoke cancer tobacco compani deni dm sound grumpi beef broccoli lunch today hurt swallow dan myer madman creator intend walk myer usceast cs scarolina upright wouldn knuckl,sci.med throat,"sci.med symptom,toxic,cancer","sci.med throat,symptom,cold,sugar","sci.med broccoli,harmless,msg,rhesus",sci.med cold
11,rec.autos,repli cf cleveland freenet chun hung wan nntp post host hela in cwru plannig trade sentra se nx car mile model nx dealer sell model mile bar roof airbag sentra fair deal thing notic nx engin torqu sentra ident engin presum ladi owner push engin limit occassionali mine thui nx engin tight buy nx excercis slight power problem advic appreci repli mail motion pictur major brook institut photographi ca santa barbara foreign student kuala lumpur malaysia mind forerunn state,"rec.autos sentra,airbag,engin","rec.autos car,engin,torqu","rec.autos dealer,sentra","rec.autos torqu,sentra,car",rec.autos sentra
12,misc.forsale,distribut ca repli lorn sun nntp post host normajean west sun warrior ticket sale ticket pair year section row seat day date oppon time wed sacremento price cost call email interest ticket lorn johnson lorn sun,misc.forsale ticket,"misc.forsale sale,ticket,cost",rec.autos sale,"misc.forsale ticket,sale,cost","rec.autos sale,seat"
13,comp.graphics,precompil version hpxx dos prefer,"comp.graphics hpxx,precompil,dos,version","comp.graphics hpxx,precompil,dos,version","comp.graphics precompil,dos","comp.graphics precompil,dos","comp.graphics precompil,dos"
14,rec.autos,articl cfpb co megatest alung megatest aaron lung write mistaken alter odomet illeg surmis ll tough alter bmw odomet newer bmw electron odomet make tamperproof car mention seri late electron odomet mechan drum type odomet driven puls speed sensor rear axl puls convert mechan puls turn odomet speedomet chang eras eprom chang mileag read mean odomet easi hard chang mechan odomet hand bit easier disconnect speed sensor run car speedomet odomet read simpl switch job disabl speed limit enabl car reach full speed alan peterman hm work al qiclab scn rain odd older day longer year shorter,"rec.autos bmw,speedomet,mechan,odomet","rec.autos car,bmw,speedomet,mileag,odomet","rec.autos axl,odomet,sensor",rec.autos odomet,"rec.autos car,odomet"
15,rec.autos,articl csxi jb news cso uiuc cka uxa cso uiuc oriolefan uiuc write gibbonsa fraser sfu ca darren gibbon write inform opel car model sad truth seater roll headlight hard top sporti gibbonsa sfu ca manta sold buick dealer mid price leader chintan amin sound opel gt neat car fun drive sold buick rememb correct engin mod made part interchang older model part harder model part general difficult find time jc whitney carri stuff includ brand remfg long block gt kharman ghia hmm spell hose project mark,"rec.autos buick,fraser","rec.autos car,model,headlight,buick,engin","rec.autos engin,buick","rec.autos two-seat,car,buick","rec.autos car,buick"
16,comp.graphics,spmars lina marco seirio write problem intersect surfac easi understand algorithm sourc marco seirio real life spmars caligula sever problem news header ftp cs purdu pub vanecek pull proxima tar proxima ps tres spif lanc norskog thinman netcom data inform knowledg wisdom,"comp.graphics surfac,intersect,algorithm",comp.graphics algorithm,comp.graphics algorithm,"comp.graphics sourc,c,data",comp.graphics algorithm
17,misc.forsale,work dock deck deck back camera jvc gx s tube video camera format accept send messag deck gx s interest video equip sale profession consum bbate pro freedom van wa pro freedom bbs,misc.forsale interest,"misc.forsale equip,sale",misc.forsale sale,misc.forsale sale,comp.graphics video
18,talk.politics.mideast,hernlem chess ncsu brad hernlem write tim guerilla wrong assum civilian cover kill soldier countri civilian cover attack soldier countri attack claim aren lebanes countri hmm confus repeat rule explain permiss civilian shield explain condit permiss soldier defend explain rule make terrorist launch missil lebanon isra civilian isra defend missil alan stein astein israel nysernet org,"talk.politics.mideast isra,civilian,missil,lebanon,missil,lebanes,guerilla","talk.politics.mideast soldier,lebanes,lebanon,isra,guerilla","talk.politics.mideast lebanon,missil,lebanes,guerilla","talk.politics.mideast lebanon,missil,lebanes,guerilla",talk.politics.mideast civilian
19,misc.forsale,sharp ti travelm part mine bad ram chip motherboard part send sharp repair drop line set friend read inch diskett pinout diskett expans connector back inch floppi box respond includ phone number email jim lewczyk mailer address buggi repli jiml strauss ftcollinsco ncr jame lewczyk x ncr mpd fort collin jim lewczyk ftcollinsco ncr,misc.forsale motherboard,"misc.forsale look,repair","misc.forsale look,respond",misc.forsale look,misc.forsale need
20,misc.forsale,recent upgrad found don prefer sell motherboard case ll offer motherboard case separ decid motherboard mhz dx sx megabyt bit ns memori ami bio base neat chipset mean motherboard bus circuitri time programm bio advanc configur menus select system dma bus clock wait state command delay babi size fit mini tower full size case includ user guid copi bio refer manual rest system full size case watt power suppli serial parallel game port mb hard disk mb floppi disk keyboard video card choic vga interest give call system set hous aloha test drive random drivel keyboard brad davi ncd beaverton network comput devic bradd pcx ncd ncd pc xdivis offic,misc.forsale motherboard,"misc.forsale sell,offer,ask",misc.forsale sell,"misc.forsale sale,offer",misc.forsale sell
21,rec.autos,articl hydra gatech jkg jmp write apolog faq faq post group infrequ reader rec auto rememb market chevi suburban observ price model diesel engin run compar model gas engin reason consum confus earli fuel crisi want fuel mileag diesel fuel cheapest fuel mileag compar gasolin engin gm decid conver gas engin diesel engin liter big mistak engin redesign convert engin handl higher compress lot problem car thew big red flag casual observ don buy diesel bad gross general question livelihood depend drive lot depend undepend cheaper short run vehicl greyhound buss trailer truck train locomot gasolin engin diesel tractor trailer truck manufactur provid mile warrante vehicl diesel suburban l diesel great engin expens gasolin engin vehicl problem diesel engin rebuilt expens gas engin pay rebuild diesel l diesel engin last long mileag carbur gasolin engin cost rebuild rebuild fuel inject pump diesel cost tune rebuilt l great deal check fuel inject pump rebuilt good luck,"rec.autos diesel,chevi,suburban,diesel,gasolin","rec.autos fuel,mileag,diesel,gasolin,engin,vehicl,car","rec.autos carbur,conver,diesel,gasolin,rebuild","rec.autos diesel,gasolin","rec.autos engin,diesel,gasolin,greyhound"
