"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80"
"1" 0 0 0 0 0.00403225806451613 0 0.0564516129032258 0.00403225806451613 0.00403225806451613 0.0282258064516129 0.00403225806451613 0 0 0 0 0.00403225806451613 0 0.00403225806451613 0.0241935483870968 0.0443548387096774 0.00403225806451613 0 0.0201612903225806 0.00403225806451613 0 0.00806451612903226 0 0 0.032258064516129 0 0.00403225806451613 0.00403225806451613 0 0.0120967741935484 0.00806451612903226 0 0 0.00806451612903226 0 0 0 0.0403225806451613 0.237903225806452 0 0.0120967741935484 0 0.00806451612903226 0 0.00403225806451613 0.0201612903225806 0.0120967741935484 0.00806451612903226 0.0403225806451613 0.00403225806451613 0.0241935483870968 0.00403225806451613 0.00806451612903226 0.00403225806451613 0.0120967741935484 0.00403225806451613 0 0.0120967741935484 0 0.0201612903225806 0 0.00403225806451613 0.0564516129032258 0.0161290322580645 0.00806451612903226 0.0524193548387097 0.00403225806451613 0 0.00806451612903226 0.0120967741935484 0 0.0443548387096774 0.00403225806451613 0 0.0282258064516129 0.00403225806451613
"2" 0 0 0 0 0 0 0 0.0714285714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0357142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0357142857142857 0 0 0 0 0.0714285714285714 0.0357142857142857 0 0 0 0 0 0 0 0 0 0 0.107142857142857 0.142857142857143 0 0.107142857142857 0 0 0.107142857142857 0.0714285714285714 0 0 0 0 0.0357142857142857 0 0.0357142857142857 0.142857142857143 0 0
"3" 0.0440251572327044 0 0.0125786163522013 0 0.0188679245283019 0 0 0 0 0 0.0314465408805031 0 0.00628930817610063 0 0.0251572327044025 0.00628930817610063 0.0125786163522013 0 0 0.00628930817610063 0 0 0 0 0.534591194968553 0 0.0125786163522013 0.0188679245283019 0 0 0 0.00628930817610063 0 0 0 0 0.0440251572327044 0.00628930817610063 0 0 0.00628930817610063 0 0.00628930817610063 0 0 0.0125786163522013 0 0.0251572327044025 0 0 0 0 0 0 0.00628930817610063 0 0 0.0125786163522013 0.0314465408805031 0.0125786163522013 0.00628930817610063 0.00628930817610063 0 0.0188679245283019 0 0 0.00628930817610063 0.0125786163522013 0 0.00628930817610063 0 0.00628930817610063 0 0.00628930817610063 0.00628930817610063 0.00628930817610063 0 0.00628930817610063 0 0.0125786163522013
"4" 0 0 0.0143884892086331 0.0575539568345324 0.00719424460431655 0.223021582733813 0 0.0215827338129496 0 0.0143884892086331 0 0 0 0 0 0 0.0287769784172662 0.00719424460431655 0.00719424460431655 0 0.0359712230215827 0 0.0215827338129496 0.00719424460431655 0.0287769784172662 0 0 0.00719424460431655 0 0.0503597122302158 0 0 0 0 0 0 0.0143884892086331 0.0359712230215827 0.0575539568345324 0 0.0143884892086331 0 0 0.0359712230215827 0 0.00719424460431655 0 0.129496402877698 0.00719424460431655 0.0143884892086331 0.0215827338129496 0.00719424460431655 0.0143884892086331 0.00719424460431655 0.0143884892086331 0 0 0.00719424460431655 0 0 0 0 0 0.0143884892086331 0.00719424460431655 0 0 0.0143884892086331 0 0.00719424460431655 0 0.00719424460431655 0.00719424460431655 0 0 0 0 0.00719424460431655 0 0.0143884892086331
"5" 0 0.0111111111111111 0 0 0.0222222222222222 0 0 0 0.0333333333333333 0.0111111111111111 0 0 0.0111111111111111 0 0.0222222222222222 0.0111111111111111 0 0.0111111111111111 0.0111111111111111 0.0111111111111111 0 0 0 0 0.0111111111111111 0.0444444444444444 0 0.0222222222222222 0.0111111111111111 0 0.144444444444444 0 0 0 0.0222222222222222 0.0777777777777778 0 0.0222222222222222 0.0111111111111111 0 0.0111111111111111 0.0111111111111111 0.0111111111111111 0 0 0 0.0111111111111111 0.0333333333333333 0 0.0555555555555556 0 0 0 0.0222222222222222 0 0.0111111111111111 0.0555555555555556 0.0111111111111111 0 0 0 0 0 0 0.0111111111111111 0 0.0333333333333333 0 0.0666666666666667 0.0111111111111111 0 0.1 0.0111111111111111 0 0 0.0111111111111111 0 0 0 0
"6" 0 0 0 0 0 0.391304347826087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.130434782608696 0 0 0 0 0.0434782608695652 0.0434782608695652 0 0 0 0.0434782608695652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0434782608695652 0 0 0.0434782608695652 0.0434782608695652 0 0 0 0 0.0434782608695652 0 0 0 0 0 0 0.0869565217391304 0 0 0 0 0 0 0.0434782608695652 0 0.0434782608695652
"7" 0 0.0333333333333333 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0.15 0.0166666666666667 0 0.0166666666666667 0.0333333333333333 0 0.0333333333333333 0 0 0 0 0 0 0.0166666666666667 0.0333333333333333 0.05 0.0166666666666667 0.0833333333333333 0 0 0 0.0166666666666667 0 0.0333333333333333 0 0 0 0 0.0166666666666667 0.0166666666666667 0.0166666666666667 0 0 0.2 0 0 0.0333333333333333 0 0 0 0 0 0 0 0 0.1 0 0.0166666666666667 0 0.0333333333333333 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0.004739336492891 0 0 0 0.004739336492891 0 0 0 0.028436018957346 0.004739336492891 0 0 0 0 0.042654028436019 0.004739336492891 0 0 0.004739336492891 0 0 0 0.00947867298578199 0 0 0 0 0.014218009478673 0 0 0.014218009478673 0.004739336492891 0 0 0.004739336492891 0.014218009478673 0 0.0853080568720379 0 0.042654028436019 0 0 0 0.018957345971564 0 0.014218009478673 0.0521327014218009 0.0805687203791469 0.00947867298578199 0 0.037914691943128 0.170616113744076 0 0 0.018957345971564 0 0 0.00947867298578199 0 0 0 0.014218009478673 0.004739336492891 0.004739336492891 0 0.004739336492891 0.0995260663507109 0.004739336492891 0.004739336492891 0 0.004739336492891 0.0473933649289099 0 0 0.0947867298578199 0.00947867298578199 0 0 0 0.00947867298578199
"9" 0 0.0142857142857143 0 0 0 0.171428571428571 0.0142857142857143 0.342857142857143 0 0.0142857142857143 0 0.0285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0285714285714286 0 0 0 0 0 0.0285714285714286 0 0 0 0 0 0 0.0142857142857143 0 0 0 0 0 0 0.0142857142857143 0.0142857142857143 0 0.0285714285714286 0 0 0 0 0.0142857142857143 0.0142857142857143 0.0142857142857143 0.0142857142857143 0 0 0 0 0.0142857142857143 0.0571428571428571 0 0 0 0.0428571428571429 0 0.0285714285714286 0 0 0 0 0 0.0285714285714286 0.0428571428571429 0.0142857142857143 0 0
"10" 0 0 0.00699300699300699 0 0 0 0 0 0 0 0.00699300699300699 0 0.034965034965035 0.0559440559440559 0 0 0 0 0 0.048951048951049 0 0.00699300699300699 0 0 0.00699300699300699 0 0 0 0 0.027972027972028 0 0.034965034965035 0 0.0979020979020979 0 0 0.00699300699300699 0 0 0.013986013986014 0 0 0 0 0 0 0.013986013986014 0 0 0 0 0.00699300699300699 0.00699300699300699 0 0.00699300699300699 0.00699300699300699 0 0 0.20979020979021 0.027972027972028 0.300699300699301 0.00699300699300699 0.013986013986014 0 0 0 0 0 0.020979020979021 0 0 0 0.00699300699300699 0.00699300699300699 0.00699300699300699 0 0 0 0.00699300699300699 0
